peso-maximo;codigo-regiao;preco
0,250; SPC ;6,27
0,300; SPC ;6,27
0,500; SPC ;6,27
0,750; SPC ;7,59
1,000; SPC ;7,59
2,000; SPC ;9,14
3,000; SPC ;9,99
4,000; SPC ;11,18
5,000; SPC ;12,33
6,000; SPC ;13,43
7,000; SPC ;14,29
8,000; SPC ;15,11
9,000; SPC ;15,59
10,000; SPC ;15,94
11,000; SPC ;17,37
12,000; SPC ;18,81
13,000; SPC ;20,24
14,000; SPC ;21,68
15,000; SPC ;23,11
16,000; SPC ;24,55
17,000; SPC ;25,98
18,000; SPC ;27,42
19,000; SPC ;28,85
20,000; SPC ;30,29
21,000; SPC ;31,72
22,000; SPC ;33,16
23,000; SPC ;34,59
24,000; SPC ;36,03
25,000; SPC ;37,46
26,000; SPC ;38,90
27,000; SPC ;40,33
28,000; SPC ;41,77
29,000; SPC ;43,20
30,000; SPC ;44,64
0,250; SPG ;6,27
0,300; SPG ;6,27
0,500; SPG ;6,27
0,750; SPG ;7,59
1,000; SPG ;7,59
2,000; SPG ;9,14
3,000; SPG ;9,99
4,000; SPG ;11,18
5,000; SPG ;12,33
6,000; SPG ;13,43
7,000; SPG ;14,29
8,000; SPG ;15,11
9,000; SPG ;15,59
10,000; SPG ;15,94
11,000; SPG ;17,37
12,000; SPG ;18,81
13,000; SPG ;20,24
14,000; SPG ;21,68
15,000; SPG ;23,11
16,000; SPG ;24,55
17,000; SPG ;25,98
18,000; SPG ;27,42
19,000; SPG ;28,85
20,000; SPG ;30,29
21,000; SPG ;31,72
22,000; SPG ;33,16
23,000; SPG ;34,59
24,000; SPG ;36,03
25,000; SPG ;37,46
26,000; SPG ;38,90
27,000; SPG ;40,33
28,000; SPG ;41,77
29,000; SPG ;43,20
30,000; SPG ;44,64
0,250; SP1 ;7,80
0,300; SP1 ;7,80
0,500; SP1 ;7,80
0,750; SP1 ;10,54
1,000; SP1 ;10,54
2,000; SP1 ;12,67
3,000; SP1 ;13,88
4,000; SP1 ;14,81
5,000; SP1 ;15,84
6,000; SP1 ;16,70
7,000; SP1 ;17,65
8,000; SP1 ;18,55
9,000; SP1 ;19,09
10,000; SP1 ;19,48
11,000; SP1 ;21,21
12,000; SP1 ;22,97
13,000; SP1 ;24,73
14,000; SP1 ;26,47
15,000; SP1 ;28,23
16,000; SP1 ;29,98
17,000; SP1 ;31,73
18,000; SP1 ;33,48
19,000; SP1 ;35,24
20,000; SP1 ;36,99
21,000; SP1 ;38,75
22,000; SP1 ;40,49
23,000; SP1 ;42,24
24,000; SP1 ;44,00
25,000; SP1 ;45,76
26,000; SP1 ;47,50
27,000; SP1 ;49,26
28,000; SP1 ;51,01
29,000; SP1 ;52,75
30,000; SP1 ;54,51
0,250; SP2 ;7,80
0,300; SP2 ;7,80
0,500; SP2 ;7,80
0,750; SP2 ;10,54
1,000; SP2 ;10,54
2,000; SP2 ;12,67
3,000; SP2 ;13,88
4,000; SP2 ;14,81
5,000; SP2 ;15,84
6,000; SP2 ;16,70
7,000; SP2 ;17,65
8,000; SP2 ;18,55
9,000; SP2 ;19,09
10,000; SP2 ;19,48
11,000; SP2 ;21,21
12,000; SP2 ;22,97
13,000; SP2 ;24,73
14,000; SP2 ;26,47
15,000; SP2 ;28,23
16,000; SP2 ;29,98
17,000; SP2 ;31,73
18,000; SP2 ;33,48
19,000; SP2 ;35,24
20,000; SP2 ;36,99
21,000; SP2 ;38,75
22,000; SP2 ;40,49
23,000; SP2 ;42,24
24,000; SP2 ;44,00
25,000; SP2 ;45,76
26,000; SP2 ;47,50
27,000; SP2 ;49,26
28,000; SP2 ;51,01
29,000; SP2 ;52,75
30,000; SP2 ;54,51
0,250; SP3 ;7,80
0,300; SP3 ;7,80
0,500; SP3 ;7,80
0,750; SP3 ;10,54
1,000; SP3 ;10,54
2,000; SP3 ;12,67
3,000; SP3 ;13,88
4,000; SP3 ;14,81
5,000; SP3 ;15,84
6,000; SP3 ;16,70
7,000; SP3 ;17,65
8,000; SP3 ;18,55
9,000; SP3 ;19,09
10,000; SP3 ;19,48
11,000; SP3 ;21,21
12,000; SP3 ;22,97
13,000; SP3 ;24,73
14,000; SP3 ;26,47
15,000; SP3 ;28,23
16,000; SP3 ;29,98
17,000; SP3 ;31,73
18,000; SP3 ;33,48
19,000; SP3 ;35,24
20,000; SP3 ;36,99
21,000; SP3 ;38,75
22,000; SP3 ;40,49
23,000; SP3 ;42,24
24,000; SP3 ;44,00
25,000; SP3 ;45,76
26,000; SP3 ;47,50
27,000; SP3 ;49,26
28,000; SP3 ;51,01
29,000; SP3 ;52,75
30,000; SP3 ;54,51
0,250; SPB ;18,88
0,300; SPB ;18,88
0,500; SPB ;19,57
0,750; SPB ;21,82
1,000; SPB ;21,82
2,000; SPB ;24,07
3,000; SPB ;26,32
4,000; SPB ;28,95
5,000; SPB ;31,21
6,000; SPB ;33,71
7,000; SPB ;36,10
8,000; SPB ;38,62
9,000; SPB ;41,15
10,000; SPB ;43,90
11,000; SPB ;49,34
12,000; SPB ;54,77
13,000; SPB ;60,21
14,000; SPB ;65,65
15,000; SPB ;71,08
16,000; SPB ;76,52
17,000; SPB ;81,95
18,000; SPB ;87,39
19,000; SPB ;92,83
20,000; SPB ;98,26
21,000; SPB ;103,70
22,000; SPB ;109,13
23,000; SPB ;114,57
24,000; SPB ;120,00
25,000; SPB ;125,44
26,000; SPB ;130,88
27,000; SPB ;136,31
28,000; SPB ;141,75
29,000; SPB ;147,18
30,000; SPB ;152,62
