CEP Inicial;CEP Final;UF;IBGE do Município;Nome do Município (Base IBGE);Base;Risco;Prazo;Tipo de Atendimento;Localidade Comercial;Geografia Comercial
01001000;01009908;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01010000;01014940;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01015000;01017911;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01018000;01022070;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01023000;01029903;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01030000;01031906;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01032000;01032905;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01033000;01036903;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01037000;01109900;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01120000;01125030;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01126000;01130900;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01131000;01140901;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01141000;01150000;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01150001;01150001;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01150010;01150901;SP;3550308;SAO PAULO;TZC;Alto;2;Atendido;Capital;SPC
01151000;01151030;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01151040;01151040;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01152000;01154010;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01154020;01154025;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01154030;01155000;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01155010;01155070;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01155080;01155080;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01155900;01156110;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01156900;01156900;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01189900;01189900;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01201000;01201000;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01201001;01201001;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
01201010;01202903;SP;3550308;SAO PAULO;TZC;Alto;2;Atendido;Capital;SPC
01203000;01203905;SP;3550308;SAO PAULO;TZC;Alto;2;Atendido;Capital;SPC
01204000;01204001;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
01204002;01204900;SP;3550308;SAO PAULO;TZC;Alto;2;Atendido;Capital;SPC
01205000;01205000;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01205001;01205010;SP;3550308;SAO PAULO;TZC;Alto;2;Atendido;Capital;SPC
01205900;01205902;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01205903;01205905;SP;3550308;SAO PAULO;TZC;Alto;2;Atendido;Capital;SPC
01206000;01206000;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01206001;01206010;SP;3550308;SAO PAULO;TZC;Alto;2;Atendido;Capital;SPC
01206901;01206902;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01206904;01206905;SP;3550308;SAO PAULO;TZC;Alto;2;Atendido;Capital;SPC
01207000;01209003;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01209010;01209900;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01210000;01210003;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01210010;01210902;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01211000;01211900;SP;3550308;SAO PAULO;TZC;Alto;2;Atendido;Capital;SPC
01212001;01213900;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01214000;01214000;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01214100;01214100;SP;3550308;SAO PAULO;TZC;Alto;2;Atendido;Capital;SPC
01215000;01215900;SP;3550308;SAO PAULO;TZC;Alto;2;Atendido;Capital;SPC
01216000;01216012;SP;3550308;SAO PAULO;TZC;Alto;2;Atendido;Capital;SPC
01217000;01218902;SP;3550308;SAO PAULO;TZC;Alto;2;Atendido;Capital;SPC
01219000;01220908;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01221000;01221000;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01221001;01221010;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01221020;01221901;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01221902;01221903;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01221906;01221906;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01222000;01222001;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01222010;01222903;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01223000;01223000;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01223001;01223010;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01223011;01223011;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01223020;01223020;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01223900;01223900;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01223901;01223901;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01223902;01223903;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01223904;01223904;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01223905;01223906;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01223907;01223907;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01224000;01227909;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01228000;01230040;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01230900;01230900;SP;3550308;SAO PAULO;TZC;Alto;2;Atendido;Capital;SPC
01230901;01234916;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01235000;01239908;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01240000;01301100;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
